"How many sharps or flats in <b>C major</b>?","None (0)"
"How many sharps or flats in <b>G major</b>?","1 sharp"
"How many sharps or flats in <b>D major</b>?","2 sharps"
"How many sharps or flats in <b>A major</b>?","3 sharps"
"How many sharps or flats in <b>E major</b>?","4 sharps"
"How many sharps or flats in <b>B major</b>?","5 sharps"
"How many sharps or flats in <b>F♯ major</b>?","6 sharps"
"How many sharps or flats in <b>C♯ major</b>?","7 sharps"
"How many sharps or flats in <b>F major</b>?","1 flat"
"How many sharps or flats in <b>B♭ major</b>?","2 flats"
"How many sharps or flats in <b>E♭ major</b>?","3 flats"
"How many sharps or flats in <b>A♭ major</b>?","4 flats"
"How many sharps or flats in <b>D♭ major</b>?","5 flats"
"How many sharps or flats in <b>G♭ major</b>?","6 flats"
"How many sharps or flats in <b>C♭ major</b>?","7 flats"
