"How many sharps or flats in <b>A minor</b>?","None (0)"
"How many sharps or flats in <b>E minor</b>?","1 sharp"
"How many sharps or flats in <b>B minor</b>?","2 sharps"
"How many sharps or flats in <b>F♯ minor</b>?","3 sharps"
"How many sharps or flats in <b>C♯ minor</b>?","4 sharps"
"How many sharps or flats in <b>G♯ minor</b>?","5 sharps"
"How many sharps or flats in <b>D♯ minor</b>?","6 sharps"
"How many sharps or flats in <b>A♯ minor</b>?","7 sharps"
"How many sharps or flats in <b>D minor</b>?","1 flat"
"How many sharps or flats in <b>G minor</b>?","2 flats"
"How many sharps or flats in <b>C minor</b>?","3 flats"
"How many sharps or flats in <b>F minor</b>?","4 flats"
"How many sharps or flats in <b>B♭ minor</b>?","5 flats"
"How many sharps or flats in <b>E♭ minor</b>?","6 flats"
"How many sharps or flats in <b>A♭ minor</b>?","7 flats"
