"<img src=""a-flat-major.png""><br>Major key?",A♭ Major
"<img src=""a-major.png""><br>Major key?",A Major
"<img src=""b-flat-major.png""><br>Major key?",B♭ Major
"<img src=""b-major.png""><br>Major key?",B Major
"<img src=""b-major.png""><br>Major key?",C♭ Major
"<img src=""c-flat-major.png""><br>Major key?",C♭ Major
"<img src=""c-flat-major.png""><br>Major key?",B Major
"<img src=""c-major.png""><br>Major key?",C Major
"<img src=""c-sharp-major.png""><br>Major key?",C♯ Major
"<img src=""c-sharp-major.png""><br>Major key?",D♭ Major
"<img src=""d-flat-major.png""><br>Major key?",D♭ Major
"<img src=""d-flat-major.png""><br>Major key?",C♯ Major
"<img src=""d-major.png""><br>Major key?",D Major
"<img src=""e-flat-major.png""><br>Major key?",E♭ Major
"<img src=""e-major.png""><br>Major key?",E Major
"<img src=""f-major.png""><br>Major key?",F Major
"<img src=""f-sharp-major.png""><br>Major key?",F♯ Major
"<img src=""f-sharp-major.png""><br>Major key?",G♭ Major
"<img src=""g-flat-major.png""><br>Major key?",G♭ Major
"<img src=""g-flat-major.png""><br>Major key?",F♯ Major
"<img src=""g-major.png""><br>Major key?",G Major
