"Which <b>major</b> key has <b>no</b> sharps or flats?","C major"
"Which <b>major</b> key has <b>1 sharp</b>?","G major"
"Which <b>major</b> key has <b>2 sharps</b>?","D major"
"Which <b>major</b> key has <b>3 sharps</b>?","A major"
"Which <b>major</b> key has <b>4 sharps</b>?","E major"
"Which <b>major</b> key has <b>5 sharps</b>?","B major"
"Which <b>major</b> key has <b>6 sharps</b>?","F♯ major"
"Which <b>major</b> key has <b>7 sharps</b>?","C♯ major"
"Which <b>major</b> key has <b>1 flat</b>?","F major"
"Which <b>major</b> key has <b>2 flats</b>?","B♭ major"
"Which <b>major</b> key has <b>3 flats</b>?","E♭ major"
"Which <b>major</b> key has <b>4 flats</b>?","A♭ major"
"Which <b>major</b> key has <b>5 flats</b>?","D♭ major"
"Which <b>major</b> key has <b>6 flats</b>?","G♭ major"
"Which <b>major</b> key has <b>7 flats</b>?","C♭ major"
