"Which <b>minor</b> key has <b>no</b> sharps or flats?","A minor"
"Which <b>minor</b> key has <b>1 sharp</b>?","E minor"
"Which <b>minor</b> key has <b>2 sharps</b>?","B minor"
"Which <b>minor</b> key has <b>3 sharps</b>?","F♯ minor"
"Which <b>minor</b> key has <b>4 sharps</b>?","C♯ minor"
"Which <b>minor</b> key has <b>5 sharps</b>?","G♯ minor"
"Which <b>minor</b> key has <b>6 sharps</b>?","D♯ minor"
"Which <b>minor</b> key has <b>7 sharps</b>?","A♯ minor"
"Which <b>minor</b> key has <b>1 flat</b>?","D minor"
"Which <b>minor</b> key has <b>2 flats</b>?","G minor"
"Which <b>minor</b> key has <b>3 flats</b>?","C minor"
"Which <b>minor</b> key has <b>4 flats</b>?","F minor"
"Which <b>minor</b> key has <b>5 flats</b>?","B♭ minor"
"Which <b>minor</b> key has <b>6 flats</b>?","E♭ minor"
"Which <b>minor</b> key has <b>7 flats</b>?","A♭ minor"
