"<img src=""a2.png""><br>Name this note",A2
"<img src=""a3.png""><br>Name this note",A3
"<img src=""b2.png""><br>Name this note",B2
"<img src=""b3.png""><br>Name this note",B3
"<img src=""c3.png""><br>Name this note",C3
"<img src=""c4.png""><br>Name this note",C4 (Middle C)
"<img src=""d3.png""><br>Name this note",D3
"<img src=""e3.png""><br>Name this note",E3
"<img src=""f3.png""><br>Name this note",F3
"<img src=""g2.png""><br>Name this note",G2
"<img src=""g3.png""><br>Name this note",G3
